neofetch	7.1.0-3
neomutt	20211029+dfsg1-1
net-tools	1.60+git20181103.0eebece-1ubuntu5.4
nftables	1.0.2-1ubuntu3.1
ninja-build	1.10.1-1
npm	8.5.1~ds-1
ntfs-3g	1:2021.8.22-3ubuntu1.4
openssh-client	1:8.9p1-3ubuntu0.16
openssl	3.0.2-0ubuntu1.26
parted	3.4-2build1
patch	2.7.6-7build2
patchelf	0.14.3-1
pciutils	1:3.7.0-6
pkg-config	0.29.2-1ubuntu3
plymouth	0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text	0.9.5+git20211018-1ubuntu3
psmisc	23.4-2build3
python-is-python3	3.9.2-2
python2	2.7.18-3
python3	3.10.6-1~22.04.1
python3-markdown	3.3.6-1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-sphinx	4.3.2-1
python3-tk:amd64	3.10.8-1~22.04
python3.10-venv	3.10.12-1~22.04.16
ripgrep	13.0.0-2ubuntu0.1
rsync	3.2.7-0ubuntu0.22.04.7
screen	4.9.0-1ubuntu0.1
show-motd	3.10
software-properties-common	0.99.22.9
sox	14.4.2+git20190427-2+deb11u2ubuntu0.22.04.1
sqlite3	3.37.2-2ubuntu0.7
squashfs-tools	1:4.5-3build1
sshpass	1.09-1
stow	2.3.1-1
strace	5.16-0ubuntu3
sysvinit-utils	3.01-1ubuntu1
tcpdump	4.99.1-3ubuntu0.2
telnet	0.17-44build1
texinfo	6.8-4build1
time	1.9-0.1build2
tldr	0.6.4-1build6.3
tmux	3.2a-4ubuntu0.2
tnftp	20210827-4build1
toilet	0.3-1.4
translate-shell	0.9.6.12-1
tree	2.0.2-1
ubuntu-minimal	1.481.5
ufw	0.36.1-4ubuntu0.1
unattended-upgrades	2.8ubuntu1
unicode	2.8-1.1
unicode-data	14.0.0-1.1
usbutils	1:014-1build1
uuid-runtime	2.37.2-4ubuntu3.5
v4l-utils	1.22.1-2build1
valgrind	1:3.18.1-1ubuntu2
vim	2:8.2.3995-1ubuntu2.34
w3m	0.5.3+git20210102-6ubuntu0.2
wechat	4.1.1.4
wget	1.21.2-2ubuntu1.4
whois	5.5.13
wine32:i386	6.0.3~repack-1
wmctrl	1.07-7build1
wsl-setup	0.5.4~22.04
x11-apps	7.7+8build2
xclip	0.13-2
xfce4-terminal	0.8.10-1
xfonts-cyrillic	1:1.0.5
xfonts-scalable	1:1.0.3-1.2ubuntu1
xvfb	2:21.1.4-2ubuntu1.7~22.04.16
xz-utils	5.2.5-2ubuntu1.1
yunshu	2.3.10.30
zathura	0.4.9-1
zeal	1:0.6.1-1.2
zip	3.0-12build2
zsh	5.8.1-1
